Comment,Designator,Footprint,LCSC
DIRECT_HEADER,J1,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,C5116482
USB_C_Receptacle_USB2.0,J4,Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12,C2765186
3.3V,"D1,D12,D13,D14,D15,D16,D17,D18,D19,D20,D21",Diode_SMD:D_SOD-523,C2999960
1uF,"C2,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14",Capacitor_SMD:C_0402_1005Metric,C301999
10k,R1,Resistor_SMD:R_0402_1005Metric,C407753
Conn_01x03_Female,J3,Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,C144394
5.1k,"R2,R3,R4,R5,R7,R9,R11,R13,R15,R17,R19,R21,R23",Resistor_SMD:R_0603_1608Metric,C25197
SW_SPDT,SW1,library:switch_4.7mm,C319012
ESP32-S3-WROOM-1,U1,PCM_Espressif:ESP32-S3-WROOM-1,C2913197
AMS1117-3.3,U2,Package_TO_SOT_SMD:SOT-223-3_TabPin2,C173386
ESPFLASH,J2,Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical,C5224026
JST,"J25,J26,J27,J28,J29,J30,J31,J32,J33,J34",Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,C131337
SMA,"J15,J16,J17,J18,J19,J20,J21,J22,J23,J24",library:SMA_Amphenol_901-143_Horizontal,C411575
1k,"R6,R8,R10,R12,R14,R16,R18,R20,R22,R24",Resistor_SMD:R_0402_1005Metric,C208774
LED,"D2,D3,D4,D5,D6,D7,D8,D9,D10,D11",LED_SMD:LED_0805_2012Metric,C2297
Conn_01x03,"J5,J6,J7,J8,J9,J10,J11,J12,J13,J14",Connector_JST:JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,C131339
