Designator,Mid X,Mid Y,Layer,Rotation
C2,103.94,-78.38,T,90.00
C4,108.74,-78.05,T,0.00
C5,77.59,-121.57,T,90.00
C6,83.83,-106.30,T,0.00
C7,109.69,-121.56,T,90.00
C8,100.03,-65.94,T,270.00
C9,83.83,-58.56,T,0.00
C10,93.69,-121.56,T,90.00
C11,115.53,-65.93,T,270.00
C12,83.88,-74.40,T,0.00
C13,83.73,-90.16,T,0.00
C14,125.59,-121.56,T,90.00
D1,131.84,-84.25,T,90.00
D2,78.84,-131.55,T,180.00
D3,73.85,-107.55,T,90.00
D4,110.94,-131.54,T,180.00
D5,98.78,-55.96,T,0.00
D6,73.85,-59.81,T,90.00
D7,94.94,-131.54,T,180.00
D8,114.28,-55.95,T,0.00
D9,73.90,-75.65,T,90.00
D10,73.75,-91.41,T,90.00
D11,126.84,-131.54,T,180.00
D12,75.39,-122.05,T,90.00
D13,83.35,-104.10,T,0.00
D14,107.49,-122.04,T,90.00
D15,102.23,-65.46,T,270.00
D16,83.35,-56.36,T,0.00
D17,91.49,-122.04,T,90.00
D18,117.73,-65.45,T,270.00
D19,83.40,-72.20,T,0.00
D20,83.25,-87.96,T,0.00
D21,123.39,-122.04,T,90.00
J1,111.20,-96.54,T,180.00
J2,100.14,-105.15,T,180.00
J3,133.45,-64.75,T,90.00
J4,125.14,-58.55,T,180.00
J5,82.84,-120.75,T,0.00
J6,84.65,-111.55,T,270.00
J7,114.94,-120.74,T,0.00
J8,94.78,-66.76,T,180.00
J9,84.65,-63.81,T,270.00
J10,98.94,-120.74,T,0.00
J11,110.28,-66.75,T,180.00
J12,84.70,-79.65,T,270.00
J13,84.55,-95.41,T,270.00
J14,130.84,-120.74,T,0.00
J15,85.08,-128.61,T,180.00
J16,76.79,-113.79,T,90.00
J17,117.18,-128.60,T,180.00
J18,92.34,-58.90,T,0.00
J19,76.79,-66.05,T,90.00
J20,101.18,-128.60,T,180.00
J21,108.04,-58.89,T,0.00
J22,76.84,-81.89,T,90.00
J23,76.69,-97.65,T,90.00
J24,133.08,-128.60,T,180.00
J25,78.14,-128.05,T,180.00
J26,77.35,-106.85,T,90.00
J27,110.24,-128.04,T,180.00
J28,99.24,-59.55,T,0.00
J29,77.35,-59.11,T,90.00
J30,94.24,-128.04,T,180.00
J31,114.98,-59.45,T,0.00
J32,77.40,-74.95,T,90.00
J33,77.25,-90.71,T,90.00
J34,126.14,-128.04,T,180.00
R1,133.55,-83.45,T,0.00
R2,129.52,-66.83,T,270.00
R3,127.74,-66.83,T,270.00
R4,132.84,-82.15,T,180.00
R5,75.54,-131.35,T,0.00
R6,78.89,-121.61,T,90.00
R7,74.05,-104.25,T,270.00
R8,83.79,-107.60,T,0.00
R9,107.64,-131.34,T,0.00
R10,110.99,-121.60,T,90.00
R11,102.08,-56.16,T,180.00
R12,98.73,-65.90,T,270.00
R13,74.05,-56.51,T,270.00
R14,83.79,-59.86,T,0.00
R15,91.64,-131.34,T,0.00
R16,94.99,-121.60,T,90.00
R17,117.58,-56.15,T,180.00
R18,114.23,-65.89,T,270.00
R19,74.10,-72.35,T,270.00
R20,83.84,-75.70,T,0.00
R21,73.95,-88.11,T,270.00
R22,83.69,-91.46,T,0.00
R23,123.54,-131.34,T,0.00
R24,126.89,-121.60,T,90.00
SW1,121.74,-78.85,T,90.00
U1,127.90,-97.35,T,270.00
U2,108.34,-83.35,T,270.00
